rank,entry_price,date,drawdown,drawdown_percentile,drawdown_velocity_7d,drawdown_velocity_30d,time_under_water_days,distance_200d,distance_200w,rsi_daily,rsi_weekly,rsi_monthly,rsi_365d,bollinger_daily_position,bollinger_daily_bandwidth,bollinger_weekly_position,bollinger_weekly_bandwidth,bollinger_monthly_position,bollinger_monthly_bandwidth,daily_structure,weekly_structure,recovery_state,capitulation_state,regime,value_score,value_state,historical_value_percentile,month,weekday,black_friday_window,christmas_new_year_window,days_from_halving,return_30d,return_90d,return_180d,return_365d,return_730d,MAE_7d,MAE_30d,MAE_90d,MAE_365d,MFE_365d,distance_from_local_low,long_term_score,risk_adjusted_score,category_best_long_term,category_risk_adjusted,category_near_cycle_bottom,category_early_recovery,category_capitulation,episode_id,start,end,best_entry_window,major_support,zone_strength,zone_distance,zone_flip,support_exhaustion,fib_confluence,mvrv,exchange_balance,exchange_inflows,exchange_outflows,hash_rate,network_activity,funding,open_interest,rsi_4h,h4_structure,holder_state,macro_state,news_state,recognized_2_3,recognized_2_5,recognized_master,candidate_completion,master_decision,cycle,entry_archetype,days_to_local_low,days_to_break_even,days_to_new_high
1,5.19,2012-06-03 00:00:00+00:00,-0.5564102564102564,,0.02366863905325456,0.02366863905325456,285.0,0.06683659311181223,,60.9144614946822,64.93001641043716,99.27321936049593,,UPPER_QUARTILE,0.050791738704263005,MIDDLE,0.052929663568806275,UPPER_QUARTILE,0.05403257846642868,BULL,BEAR,CAPITULATION,NONE,BEAR,52.96756191655315,FAIR,,6,6,False,False,-178,0.24084778420038533,0.909441233140655,1.3949903660886318,22.741811175337183,128.12138728323697,-0.009633911368015502,-0.009633911368015502,-0.009633911368015502,-0.009633911368015502,48.96917148362234,-0.45310853530031614,97.77866938681957,454.83622350674364,True,True,True,False,False,1,2011-08-30 00:00:00+00:00,2013-11-12 00:00:00+00:00,2011-08-30..2013-11-12,True,70.6,0.5694,False,0,False,,,,,,,,,55.58646189829432,BULL,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,False,0,NO_BUY_RESEARCH_PROXY,PRE_FIRST_HALVING,HISTORICAL_SUPPORT_RETEST,-70,1,71.0
2,571.05,2016-09-01 00:00:00+00:00,-0.4955433255889966,59.446254071661244,-0.008094353059700299,0.057499999999999885,1002.0,0.09020035784459357,0.6537445657093468,41.672447876781824,27.56825170170272,2.4930272839631016,52.488290425236556,MIDDLE,0.0329346253784197,MIDDLE,0.06341691514592979,BELOW_LOWER,0.10298097723288548,BULL,BULL,NONE,NONE,BEAR,45.94631824511592,FAIR,46.31771150334754,9,3,False,False,54,0.0734261448209439,0.29946589615620356,1.085999474651957,7.618684878732161,11.582103143332459,-0.007039663777252403,-0.007039663777252403,-0.007039663777252403,-0.007039663777252403,7.641975308641976,-0.21451169188445673,85.98391874831735,152.37369757464322,True,True,True,False,False,2,2015-01-04 00:00:00+00:00,2017-11-12 00:00:00+00:00,2015-01-04..2017-11-12,True,100.0,0.2626,True,1,False,,,,,,,,,47.571723957539554,BEAR,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,False,0,NO_BUY_RESEARCH_PROXY,POST_2016_HALVING,HISTORICAL_SUPPORT_RETEST,-30,1,175.0
3,5033.42,2020-03-16 00:00:00+00:00,-0.737675749878308,14.96490108487556,-0.365768467475193,-0.4915624387612654,821.0,-0.4099415670505947,-0.08384831633959722,25.162874595495254,2.1268544862851684,23.798353410614,48.49285627451994,LOWER_QUARTILE,0.7816135313538266,BELOW_LOWER,0.4901431197494618,MIDDLE,0.1321482236453218,BEAR,BEAR,CAPITULATION,CAPITULATION,BEAR,90.16523766985459,EXTREME,94.75298126064736,3,0,False,False,-56,0.3150104700183971,0.8536084809135736,1.0747980498349037,10.306098040695987,7.173917535194759,-0.019354633628824947,-0.019354633628824947,-0.019354633628824947,-0.019354633628824947,11.274324415606088,-0.430004427770159,84.65578181050854,206.12196081391974,True,True,True,False,True,5,2019-11-26 00:00:00+00:00,2021-01-27 00:00:00+00:00,2019-11-26..2021-01-27,True,79.4,0.3991,True,0,False,,,,,,,-0.0004879,,33.63024338143525,BEAR,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,True,True,True,100,BUY_RESEARCH_PROXY,POST_2016_HALVING,DEEP_CAPITULATION,-3,1,259.0
4,3560.46,2019-02-14 00:00:00+00:00,-0.8144412746028983,1.2783053323593865,0.05987205782105365,-0.004604507217082721,425.0,-0.3254657819563015,0.07466801678468915,50.78760724995076,60.16977480834674,0.000483769765835973,48.50981314342679,MIDDLE,0.10632750069731815,UPPER_QUARTILE,0.08137704628502458,MIDDLE,0.13932855915149545,BEAR,BULL,CAPITULATION,STRESS,BEAR,94.4627587385419,EXTREME,96.53406853091768,2,3,False,False,-452,0.12064171483459996,1.3055138942720887,2.0508080416575387,1.9108710672216516,12.264712986524215,-0.0043758390769731426,-0.0043758390769731426,-0.0043758390769731426,-0.0043758390769731426,2.898372682181516,-0.4236872774360635,75.90240966375855,38.21742134443303,False,False,True,False,False,4,2018-11-19 00:00:00+00:00,2019-05-12 00:00:00+00:00,2018-11-19..2019-05-12,True,82.7,0.1505,True,0,False,,,,,,,,,50.250997850416695,BULL,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,True,False,False,75,NO_BUY_RESEARCH_PROXY,POST_2016_HALVING,HISTORICAL_SUPPORT_RETEST,-61,1,655.0
5,17119.0,2023-01-08 00:00:00+00:00,-0.7466066697257212,11.821239788563192,0.03033403551008118,-0.0005254553946754115,426.0,-0.12589054878768058,-0.29999357138205063,57.557327129703204,41.793121223429885,1.1843538625514611,47.80949799599123,ABOVE_UPPER,0.03586571828080074,MIDDLE,0.04547043015795418,LOWER_QUARTILE,0.07568013158176268,BEAR,BEAR,CAPITULATION,STRESS,BEAR,79.69628892407934,EXTREME,84.93565480696442,1,6,False,False,-468,0.35825690752964534,0.6337987031952801,0.7727671008820609,1.7451953969273908,4.663064431333606,-0.0006425608972486785,-0.0006425608972486785,-0.0006425608972486785,-0.0006425608972486785,1.761901980255856,-0.30849087089998384,69.10447560957861,34.90390793854781,False,False,True,False,False,7,2022-10-11 00:00:00+00:00,2024-02-26 00:00:00+00:00,2022-10-11..2024-02-26,True,62.2,0.1892,True,0,False,,,,,,,0.0001,1786911999.6392,62.523749476793185,BULL,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,False,0,NO_BUY_RESEARCH_PROXY,POST_2020_HALVING,HISTORICAL_SUPPORT_RETEST,-48,1,421.0
6,54147.0,2024-09-07 00:00:00+00:00,-0.25948769847239506,74.96855345911949,-0.08174063459222958,-0.12240068720724806,178.0,-0.1518368917822539,0.3968963247837878,35.400350464176626,39.05402008859253,3.429712567920859,51.34390890638747,LOWER_QUARTILE,0.1922232422735996,MIDDLE,0.11140445217455783,LOWER_QUARTILE,0.1774047483466791,BEAR,BULL,NONE,NONE,ACCUMULATION,32.02224551852966,LOW,37.58477357252242,9,5,False,False,140,0.1489463866880898,0.8449406245960072,0.6606275509261825,1.0526344949858717,,-0.009437272609747582,-0.009437272609747582,-0.009437272609747582,-0.009437272609747582,1.2996103200546658,-0.2725501786817852,53.487460815047015,21.052689899717432,False,False,True,False,False,8,2024-06-20 00:00:00+00:00,2024-11-10 00:00:00+00:00,2024-06-20..2024-11-10,True,82.9,0.0959,True,0,False,,,,,,,1.428e-05,4610472180.1874895,29.71914301134852,BEAR,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,False,0,NO_BUY_RESEARCH_PROXY,POST_2024_HALVING,HISTORICAL_SUPPORT_RETEST,-33,1,60.0
7,19294.46,2022-07-03 00:00:00+00:00,-0.7144057786527331,13.541404480241631,-0.08246971161779448,-0.34968464130876975,237.0,-0.4856878153646431,-0.14122288529501026,29.488955575017016,9.488860382211243,0.026348200125937637,47.784007931536465,LOWER_QUARTILE,0.17935455735465108,MIDDLE,0.1582120118575376,BELOW_LOWER,0.6443433288702443,BEAR,BEAR,CAPITULATION,CAPITULATION,BEAR,90.86809047985903,EXTREME,96.23741388447272,7,6,False,False,-657,0.19213079816693512,0.000909069235417892,-0.13949392727238796,0.6148676874087173,2.215067952147922,-0.013580063914719553,-0.02015656307561864,-0.05895267346170863,-0.19774899116119338,0.6304161920053737,0.24649266748497967,45.58269240564356,3.1093341300917854,False,False,False,False,True,6,2022-06-13 00:00:00+00:00,2022-07-12 00:00:00+00:00,2022-06-13..2022-07-12,True,59.2,0.0193,False,0,False,,,,,,,2.12e-05,1809531407.952,40.506663202571254,BEAR,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,True,True,True,100,BUY_RESEARCH_PROXY,POST_2020_HALVING,DEEP_CAPITULATION,-15,1,610.0
8,6307.4,2018-06-13 00:00:00+00:00,-0.6712803669835697,18.53932584269663,-0.1764258862946999,-0.27286854592154364,179.0,-0.3854737287388442,1.63496353681409,26.463953566887383,19.244417279925372,11.52492492827389,50.540505295034464,BELOW_LOWER,0.21089316969684027,LOWER_QUARTILE,0.25330042613783993,MIDDLE,0.40008763022250443,BEAR,BULL,CAPITULATION,CAPITULATION,BEAR,82.54698584791075,EXTREME,90.97252507631923,6,2,False,False,-698,-0.014555918445001037,-0.004345689190474622,-0.45968227795922245,0.3060849161302597,0.5003123315470717,-0.005820147762945149,-0.08445318197672569,-0.08445318197672569,-0.5049814503598946,0.44224085994229023,1.020126317947141,31.013290305680673,0.6061310091927463,False,False,False,False,True,3,2018-06-13 00:00:00+00:00,2018-06-13 00:00:00+00:00,2018-06-13..2018-06-13,True,70.0,0.5282,True,0,False,,,,,,,,,27.759500315677357,BEAR,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,True,False,False,75,NO_BUY_RESEARCH_PROXY,POST_2016_HALVING,DEEP_CAPITULATION,16,1,
